,流域,行政区,河名,站名,时间,水位(米),流量(米^3/秒),警戒水位(米)
0,黑龙江,吉林省,嫩江,大赉,11-11 14:00,128.77,1600,131.74
1,黑龙江,吉林省,松花江,扶余,11-11 08:00,129.26,355,133.56
2,玛纳斯湖流域,新疆维吾尔自治区,玛纳斯河,肯斯瓦特,11-11 08:00,7.59,18,0.0
3,塔里木河,新疆维吾尔自治区,叶尔羌河,库鲁克栏干,11-11 08:00,5.88,71,0.0
4,塔里木河,新疆维吾尔自治区,叶尔羌河,卡群,11-11 08:00,5.45,103,0.0
5,塔里木河,新疆维吾尔自治区,盖孜河,克勒克,11-11 08:00,5.43,36,0.0
6,塔里木河,新疆维吾尔自治区,库山河,沙曼,11-11 08:00,5.19,10,0.0
7,塔里木河,新疆维吾尔自治区,开都河,大山口,11-11 08:00,6.44,51,0.0
8,塔里木河,新疆维吾尔自治区,开都河,焉耆,11-11 08:00,4.01,46,0.0
9,塔里木河,新疆维吾尔自治区,博斯腾湖,博斯腾湖,11-11 08:00,7.47,0,0.0
10,塔里木河,新疆维吾尔自治区,黄水沟,黄水沟,11-11 08:00,3.34,3,0.0
11,塔里木河,新疆维吾尔自治区,孔雀河,他什店,11-11 08:00,5.48,42,0.0
12,塔里木河,新疆维吾尔自治区,黑孜河,黑孜,11-11 08:00,3.56,3,0.0
13,塔里木河,新疆维吾尔自治区,卡墙河,且末,11-11 08:00,4.15,6,0.0
14,内陆,青海省,巴音河,德令哈(三）,11-11 08:00,3024.73,10,0.0
15,内陆,青海省,格尔木河,格尔木（四）,11-11 08:00,2934.25,25,0.0
16,黑龙江,吉林省,松花江干流,下岱吉,11-11 14:00,122.9,2150,126.32
17,第二松花江,吉林省,二道松花江,汉阳屯,11-11 08:00,444.32,54,449.5
18,第二松花江,吉林省,五道白河,松江,11-11 08:00,547.27,6,549.6
19,第二松花江,吉林省,古洞河,大甸子,11-11 08:00,542.08,5,544.2
20,第二松花江,吉林省,富尔河,大蒲柴河,11-11 08:00,524.9,15,528.0
21,第二松花江,吉林省,漫江,漫江,11-11 14:00,819.55,9,0.0
22,松花江流域,吉林省,头道松花江,高丽城子,11-11 14:00,419.97,29,422.07
23,第二松花江,吉林省,珠子河,靖宇,11-11 14:00,540.95,1,0.0
24,第二松花江,吉林省,辉发河,五道沟,11-11 14:00,264.71,47,270.0
25,松花江,吉林省,莲河,东丰,11-11 08:00,335.59,1,338.0
26,松花江流域,吉林省,三统河,样子哨,11-11 08:00,321.42,21,323.94
27,第二松花江,吉林省,金沙河,民立,11-11 14:00,268.46,2,271.97
28,第二松花江,吉林省,漂河,横道子,11-11 14:00,277.63,5,279.41
29,第二松花江,吉林省,蛟河,蛟河,11-11 14:00,265.2,4,268.6
30,第二松花江,吉林省,第二松花江,吉林,11-11 14:00,186.02,202,189.39
31,第二松花江,吉林省,第二松花江,松花江,11-11 08:00,149.5,256,154.46
32,第二松花江,吉林省,温德河,口前,11-11 14:00,219.46,3,223.0
33,第二松花江,吉林省,饮马河,长岭,11-11 08:00,192.14,5,197.0
34,第二松花江,吉林省,饮马河,德惠,11-11 08:00,151.28,18,155.5
35,第二松花江,吉林省,伊通河,农安,11-11 08:00,161.15,27,167.53
36,松花江,吉林省,拉林河,牛头山,11-11 14:00,150.71,0,158.87
37,黑龙江,吉林省,拉林河,蔡家沟,11-11 14:00,135.72,37,139.9
38,松花江,吉林省,卡岔河,榆树,11-11 08:00,162.59,1,167.42
39,黑龙江流域,内蒙古自治区,洮儿河,察尔森,11-11 08:00,329.26,46,330.8
40,黑龙江,吉林省,洮儿河,洮南,11-11 08:00,145.77,78,148.89
41,黑龙江流域,内蒙古自治区,归流河,大石寨,11-11 08:00,3.02,29,4.2
42,黑龙江流域,内蒙古自治区,蛟流河,杜尔基,11-11 08:00,13.96,7,15.0
43,黑龙江流域,内蒙古自治区,霍林河,白云胡硕,11-11 08:00,250.26,19,251.9
44,图们江,吉林省,嘎呀河,东明,11-11 08:00,199.86,81,203.0
45,图们江,吉林省,布尔哈通河,榆树川,11-11 08:00,282.18,6,284.8
46,图们江,吉林省,海兰河,龙山,11-11 08:00,214.78,4,0.0
47,图们江,吉林省,珲春河,新农,11-11 08:00,20.8,30,24.0
48,鸭绿江流域,吉林省,浑江,八道江,11-11 14:00,472.15,7,474.42
49,鸭绿江流域,吉林省,浑江,东村,11-11 08:00,329.71,66,334.04
50,辽河流域,内蒙古自治区,西辽河,通辽(五),11-11 08:00,0.0,0,182.4
51,辽河,吉林省,西辽河,郑家屯,11-11 14:00,112.34,0,116.56
52,辽河流域,辽宁省,老哈河,兴隆坡,11-11 14:00,6.15,2,9.5
53,辽河流域,内蒙古自治区,英金河,赤峰(五),11-11 08:00,558.94,0,560.48
54,辽河流域,内蒙古自治区,召苏河,新井,11-11 08:00,0.0,0,0.0
55,辽河,内蒙古自治区,崩河,沟门子(四),11-11 08:00,0.0,0,454.4
56,辽河流域,内蒙古自治区,羊肠子河,哈拉道口,11-11 08:00,0.0,0,17.0
57,辽河流域,内蒙古自治区,百岔河,万合永,11-11 08:00,8.54,0,10.51
58,辽河流域,内蒙古自治区,少冷河,乌丹(四),11-11 08:00,0.0,0,629.76
59,辽河流域,内蒙古自治区,他拉干库引水,他拉干（五）,11-11 08:00,0.0,0,0.0
60,辽河,吉林省,东辽河,王奔,11-11 14:00,107.02,24,109.79
61,辽河流域,吉林省,兴隆河,公主岭,11-11 08:00,187.42,0,190.5
62,辽河,辽宁省,辽河,福德店,11-11 08:00,85.159,34,87.96
63,辽河,辽宁省,辽河,通江口,11-11 08:00,70.284,58,72.75
64,辽河,辽宁省,辽河,马虎山,11-11 08:00,35.19,148,38.87
65,辽河,辽宁省,辽河,平安堡,11-11 08:00,23.94,120,27.18
66,辽河,辽宁省,辽河,辽中,11-11 08:00,11.5,125,14.33
67,辽河,辽宁省,辽河,六间房,11-11 08:00,7.11,120,11.0
68,辽河流域,吉林省,招苏台河,梨树,11-11 14:00,140.36,1,0.0
69,辽河,辽宁省,柴河,柴河,11-11 08:00,110.58,7,112.82
70,辽河,辽宁省,清河,八棵树,11-11 08:00,146.088,6,148.83
71,辽河,辽宁省,清河,开原,11-11 08:00,86.05,4,89.26
72,柳河,辽宁省,柳河,彰武,11-11 08:00,81.569,0,82.48
73,绕阳河,辽宁省,绕阳河,韩家杖子,11-11 08:00,109.255,0,0.0
74,绕阳河,辽宁省,绕阳河,东白城子,11-11 08:00,69.791,6,72.13
75,辽河,辽宁省,浑河,抚顺,11-11 08:00,70.75,5,75.84
76,辽河,辽宁省,浑河,沈阳,11-11 08:00,36.34,19,37.97
77,辽河,辽宁省,浑河,黄腊坨,11-11 08:00,11.148,52,16.02
78,辽河,辽宁省,浑河,邢家窝棚,11-11 08:00,3.844,71,9.49
79,辽河,辽宁省,太子河,本溪,11-11 08:00,105.3,35,107.14
80,辽河,辽宁省,太子河,辽阳,11-11 08:00,21.268,92,25.88
81,辽河,辽宁省,太子河,小林子,11-11 08:00,6.65,83,12.5
82,辽河,辽宁省,太子河,唐马寨,11-11 08:00,3.747,88,8.9
83,辽河,辽宁省,大辽河,三岔河,11-11 08:00,0.72,0,3.0
84,辽河,辽宁省,太子河(南支),南甸,11-11 08:00,262.363,5,0.0
85,辽河,辽宁省,细河,桥头,11-11 08:00,124.901,13,0.0
86,辽河,辽宁省,大凌河,朝阳,11-11 08:00,165.002,22,168.15
87,大凌河,辽宁省,大凌河,义县,11-11 08:00,60.645,46,62.28
88,大凌河,辽宁省,大凌河,凌海,11-11 08:00,17.67,63,19.21
89,渤海岸,辽宁省,小凌河,缸窑口,11-11 08:00,70.377,10,0.0
90,渤海岸,辽宁省,小凌河,锦州,11-11 08:00,16.697,0,20.04
91,辽河,辽宁省,大清河,望宝山,11-11 08:00,21.276,21,0.0
92,辽河,辽宁省,熊岳河,熊岳,11-11 08:00,13.638,1,0.0
93,辽河,辽宁省,大洋河,沙里寨,11-11 08:00,5.02,81,8.25
